name,slug, migrant(s)/1,000 population,date_of_information,ranking,region
"Lebanon","lebanon","-0.9","2024",141,"Middle East"
"Trinidad and Tobago","trinidad-and-tobago","-0.9","2024",142,"Central America and the Caribbean"
"Bolivia","bolivia","-1","2024",143,"South America"
"Saint Barthelemy","saint-barthelemy","-1","2024",144,"Central America and the Caribbean"
"Laos","laos","-1","2024",145,"East and Southeast Asia"
"Peru","peru","-1","2024",146,"South America"
"Syria","syria","-1.1","2024",147,"Middle East"
"Pakistan","pakistan","-1.1","2024",148,"South Asia"
"Uzbekistan","uzbekistan","-1.1","2024",149,"Central Asia"
"Ecuador","ecuador","-1.1","2024",150,"South America"
"Bahrain","bahrain","-1.2","2024",151,"Middle East"
"Curacao","curacao","-1.3","2024",152,"Central America and the Caribbean"
"Vanuatu","vanuatu","-1.3","2024",153,"Australia and Oceania"
"Tunisia","tunisia","-1.3","2024",154,"Africa"
"Burma","burma","-1.4","2024",155,"East and Southeast Asia"
"Turkey (Turkiye)","turkey-turkiye","-1.5","2024",156,"Middle East"
"Solomon Islands","solomon-islands","-1.5","2024",157,"Australia and Oceania"
"Mozambique","mozambique","-1.5","2024",158,"Africa"
"Sudan","sudan","-1.6","2024",159,"Africa"
"Haiti","haiti","-1.6","2024",160,"Central America and the Caribbean"
"Guatemala","guatemala","-1.6","2024",161,"Central America and the Caribbean"
"Turkmenistan","turkmenistan","-1.7","2024",162,"Central Asia"
"Morocco","morocco","-1.7","2024",163,"Africa"
"Togo","togo","-1.7","2024",164,"Africa"
"Honduras","honduras","-1.7","2024",165,"Central America and the Caribbean"
"Nicaragua","nicaragua","-1.8","2024",166,"Central America and the Caribbean"
"Tajikistan","tajikistan","-2","2024",167,"Central Asia"
"Colombia","colombia","-2.1","2024",168,"South America"
"Cuba","cuba","-2.1","2024",169,"Central America and the Caribbean"
"Comoros","comoros","-2.2","2024",170,"Africa"
"Grenada","grenada","-2.2","2024",171,"Central America and the Caribbean"
"Libya","libya","-2.5","2024",172,"Africa"
"Cambodia","cambodia","-2.6","2024",173,"East and Southeast Asia"
"Estonia","estonia","-2.7","2024",174,"Europe"
"Dominican Republic","dominican-republic","-2.7","2024",175,"Central America and the Caribbean"
"Kiribati","kiribati","-2.8","2024",176,"Australia and Oceania"
"Mali","mali","-2.9","2024",177,"Africa"
"Bangladesh","bangladesh","-2.9","2024",178,"South Asia"
"Sri Lanka","sri-lanka","-3","2024",179,"South Asia"
"Central African Republic","central-african-republic","-3.1","2024",180,"Africa"
"United Arab Emirates","united-arab-emirates","-3.1","2024",181,"Middle East"
"Rwanda","rwanda","-3.1","2024",182,"Africa"
"Uganda","uganda","-3.1","2024",183,"Africa"
"Zimbabwe","zimbabwe","-3.2","2024",184,"Africa"
"Albania","albania","-3.2","2024",185,"Europe"
"Gibraltar","gibraltar","-3.2","2024",186,"Europe"
"Romania","romania","-3.3","2024",187,"Europe"
"Guinea-Bissau","guinea-bissau","-3.5","2024",188,"Africa"
"Wallis and Futuna","wallis-and-futuna","-3.6","2024",189,"Australia and Oceania"
"Gaza Strip","gaza-strip","-3.7","2024",190,"Middle East"
"West Bank","west-bank","-3.8","2024",191,"Middle East"
"Timor-Leste","timor-leste","-3.8","2024",192,"East and Southeast Asia"
"Georgia","georgia","-3.8","2024",193,"Central Asia"
"Tokelau","tokelau","-3.84","2021",194,"Australia and Oceania"
"Lithuania","lithuania","-4.1","2024",195,"Europe"
"Kuwait","kuwait","-4.2","2024",196,"Middle East"
"Marshall Islands","marshall-islands","-4.3","2024",197,"Australia and Oceania"
"Nepal","nepal","-4.4","2024",198,"South Asia"
"Lesotho","lesotho","-4.5","2024",199,"Africa"
"Kyrgyzstan","kyrgyzstan","-4.8","2024",200,"Central Asia"
"Latvia","latvia","-4.9","2024",201,"Europe"
"Greenland","greenland","-4.9","2024",202,"North America"
"Montenegro","montenegro","-5","2024",203,"Europe"
"Armenia","armenia","-5.2","2024",204,"Central Asia"
"Dominica","dominica","-5.3","2024",205,"Central America and the Caribbean"
"Fiji","fiji","-5.5","2024",206,"Australia and Oceania"
"Svalbard","svalbard","-5.57","2021",207,"Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","-5.8","2024",208,"Central America and the Caribbean"
"Eswatini","eswatini","-6","2024",209,"Africa"
"Poland","poland","-6.2","2024",210,"Europe"
"Saint Martin","saint-martin","-6.2","2024",211,"Central America and the Caribbean"
"Tuvalu","tuvalu","-6.3","2024",212,"Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","-6.5","2024",213,"Africa"
"Guyana","guyana","-6.6","2024",214,"South America"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","-6.8","2024",215,"North America"
"Samoa","samoa","-6.9","2024",216,"Australia and Oceania"
"Jamaica","jamaica","-7.1","2024",217,"Central America and the Caribbean"
